tracked_team_id,tracked_team_name,match_id,start_time,status,match_number,category,stage,group,home_team,away_team,home_goals,away_goals,winner,arena,source_url
76138452,G13 Sandviken Rød,80459531,2026-07-26T13:10+02:00,finished,1 13 9 17 001,Boys 13 - born 2013 - 9 aside,,Group 17,"Nord, SK - Fotball 2",Varegg Fotball Varegg-Sandviken RØD,1,1,,Furuset 04 FU9,"https://norwaycup.cupmanager.net/2026,nb/result/team/76138452"
76326714,G15 Sandviken 1,80269699,2026-07-26T13:30+02:00,finished,1 15 0 22 001,Boys 15 - born 2011 - 11 aside ,,Group 22,Lillestrøm,Varegg/Sandviken 1,0,3,away,Frigg Feltet 02 TØ11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76326714"
73060428,G13 Sandviken Gul,80459717,2026-07-26T14:00+02:00,finished,1 13 9 30 000,Boys 13 - born 2013 - 9 aside,,Group 30,Oppegård IL Gul,Varegg Fotball Varegg-Sandviken GUL,2,0,home,Bjølsenfeltet 05BJ09,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060428"
73060430,G13 Sandviken Hvit,80459659,2026-07-26T14:00+02:00,finished,1 13 9 26 000,Boys 13 - born 2013 - 9 aside,,Group 26,Varegg Fotball Varegg-Sandviken HVIT,Skåla/Langfjorden IL,1,3,away,Ekeberg 40 EK9,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060430"
75750516,G16 Varegg Fotball/Sandviken Gul,80215845,2026-07-26T14:30+02:00,finished,1 16 0 04 000,Boys 16 - born 2010 - 11 aside,,Group 4,Stabæk Fotball 2,Varegg Fotball /Sandviken Gul,0,1,away,Rustad 01 RU11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75750516"
76326718,G15/16 7-er Sandviken,80492746,2026-07-26T15:00+02:00,finished,1 16 7 09 004,Boys 15/16 - born 2010 - 7 aside,,Group 9,"Jardar, IL",Varegg/Sandviken,4,0,home,Abildsø 06 AB7,"https://norwaycup.cupmanager.net/2026,nb/result/team/76326718"
75938121,J16 Sandviken,80273236,2026-07-26T15:30+02:00,finished,2 16 0 07 000,Girls 16 - born 2010- 11 aside,,Group 7,Sortland IL,Varegg/Sandviken,0,0,,Furuset 02 FU11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75938121"
73060432,G13 Sandviken Blå,80459381,2026-07-26T15:40+02:00,finished,1 13 9 07 000,Boys 13 - born 2013 - 9 aside,,Group 7,Gamle Oslo FK 2,Varegg Fotball Varegg-Sandviken BLÅ,3,1,home,Valle Hovin 07 VA9,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060432"
76356822,J17 Sandviken,80273780,2026-07-26T17:45+02:00,finished,2 17 0 03 001,Girls 17 - born 2009 - 11aside,,Group 3,Rana Fotballklubb,Sandviken/Varegg,0,3,away,Rustad 02 RU11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76356822"
76431744,G19 Sandviken,80277629,2026-07-26T17:45+02:00,finished,1 19 0 06 001,Boys 19 - born 2007 - 11 aside,,Group 6,Varegg/Sandviken,KFUM-Kam. Oslo Rød,11,0,home,Furuset 01 FU11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76431744"
77112564,G17 Sandviken,80275919,2026-07-26T17:45+02:00,finished,1 17 0 14 001,Boys 17 -born 2009 - 11 aside,,Group 14,Fotballklubben Clausenengen Kristiansund,Varegg/Sandviken,6,0,home,Valle Hovin 01 VA11,"https://norwaycup.cupmanager.net/2026,nb/result/team/77112564"
75670384,J15 Sandviken,80268680,2026-07-27T08:00+02:00,scheduled,2 15 0 17 002,Girls 15 - born 2011 11 aside,,Group 17,Sandviken/Varegg,"Freidig, SPK 2",,,,Frigg Feltet 02 TØ11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75670384"
75938121,J16 Sandviken,80273240,2026-07-27T08:00+02:00,scheduled,2 16 0 07 003,Girls 16 - born 2010- 11 aside,,Group 7,Varegg/Sandviken,Fron Sportsklubb,,,,Valle Hovin 08 VA11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75938121"
76138452,G13 Sandviken Rød,80459533,2026-07-27T08:00+02:00,scheduled,1 13 9 17 002,Boys 13 - born 2013 - 9 aside,,Group 17,Varegg Fotball Varegg-Sandviken RØD,Øvrevoll Hosle IL 3,,,,Ekeberg 40 EK9,"https://norwaycup.cupmanager.net/2026,nb/result/team/76138452"
75750516,G16 Varegg Fotball/Sandviken Gul,80215849,2026-07-27T10:00+02:00,scheduled,1 16 0 04 003,Boys 16 - born 2010 - 11 aside,,Group 4,Varegg Fotball /Sandviken Gul,Nordre Land IL /Torpa,,,,Ekeberg 04 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75750516"
73060428,G13 Sandviken Gul,80459722,2026-07-27T10:40+02:00,scheduled,1 13 9 30 003,Boys 13 - born 2013 - 9 aside,,Group 30,Varegg Fotball Varegg-Sandviken GUL,Haugerud IF 1,,,,Bjølsenfeltet 05BJ09,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060428"
76334133,J19 Sandviken,80277000,2026-07-27T11:00+02:00,scheduled,2 19 0 02 002,Girls 18/19- born 2007 - 11aside,,Group 2,Gjoa Youth Soccer Brooklyn,"Sandviken, IL /Varegg",,,,Marienlyst Kunstgress 01MA11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76334133"
76356822,J17 Sandviken,80273782,2026-07-27T11:00+02:00,scheduled,2 17 0 03 002,Girls 17 - born 2009 - 11aside,,Group 3,Sandviken/Varegg,Vigrestad IK,,,,Valle Hovin 08 VA11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76356822"
73060432,G13 Sandviken Blå,80459385,2026-07-27T11:30+02:00,scheduled,1 13 9 07 003,Boys 13 - born 2013 - 9 aside,,Group 7,Varegg Fotball Varegg-Sandviken BLÅ,Nordre Land/Torpa,,,,Ekeberg 40 EK9,"https://norwaycup.cupmanager.net/2026,nb/result/team/73060432"
